slug|category_key|group_name|title_key|folder_hint
project-manhattan-beach-sepulveda-bridge-widening|consultant-cm|Bridge Construction Projects|Manhattan Beach Sepulveda Bridge Widening Project|CATEGORY 3\Bridges Construction Projects\Manhattan Beach Sepulveda Bridge Widening Project
project-sbcta-cherry-avenue-grade-separation|consultant-cm|Bridge Construction Projects|SBCTA Cherry Avenue Grade Separation Project|CATEGORY 3\Bridges Construction Projects\SBCTA Cherry Avenue Grade Separation Project
project-sbcta-riverside-avenue-grade-separation|consultant-cm|Bridge Construction Projects|SBCTA Riverside Avenue Grade Separation Project|CATEGORY 3\Bridges Construction Projects\SBCTA Riverside Avenue Grade Separation Project
project-city-of-ontario-north-milliken-grade-separation|consultant-cm|Bridge Construction Projects|City of Ontario – North Milliken Avenue UPRR (T-Wall) Grade Separation|CATEGORY 3\Bridges Construction Projects\City of Ontario
project-city-of-barstow-bnsf-yard-grade-separation|consultant-cm|Bridge Construction Projects|City of Barstow – BNSF Yard Grade Separation Project|CATEGORY 3\Bridges Construction Projects\City of Barstow
project-i10-widening-and-truck-climbing-lane|consultant-cm|Roadway Construction Projects|I-10 Widening and Truck Climbing Lane Project|CATEGORY 3\Roadway Construction Projects\I-10 Widening and Truck Climbing Lane Project
project-i215-realignment-and-widening|consultant-cm|Roadway Construction Projects|I-215 Realignment and Widening Project|CATEGORY 3\Roadway Construction Projects\I-215 Realignment and Widening Project
project-i5-widening-santa-fe-springs-norwalk|consultant-cm|Roadway Construction Projects|I-5 Widening Project – Santa Fe Springs / Norwalk, CA|CATEGORY 3\Roadway Construction Projects\I-5 Widening Project
project-i5-la-north-county-enhancement-roadway|consultant-cm|Roadway Construction Projects|I-5 LA North County Enhancement Project – Santa Clarita, CA|CATEGORY 3\Roadway Construction Projects\I-5 NORTH COUNTY ENHANCEMENT PROJECT LOS ANGELES
project-i10-live-oak-canyon-interchange|consultant-cm|Roadway Construction Projects|I-10 Live Oak Canyon Interchange Project – Redlands, CA|CATEGORY 3\Roadway Construction Projects\I-10 Live Oak Canyon Interchange Project
project-i5-north-county-enhancement-los-angeles|quality-testing||I-5 NORTH COUNTY ENHANCEMENT PROJECT – LOS ANGELES COUNTY, CA|CATEGORY 2\I-5 NORTH COUNTY ENHANCEMENT PROJECT LOS ANGELES
project-caltrans-district-7-on-call-materials-testing|quality-testing||CALTRANS DISTRICT 7 – ON-CALL MATERIALS TESTING SERVICES|CATEGORY 2\CALTRANS DISTRICT 7 – ON-CALL MATERIALS TESTING SERVICES
project-caltrans-district-8-on-call-materials-testing|quality-testing||CALTRANS DISTRICT 8 – ON-CALL MATERIALS TESTING SERVICES|CATEGORY 2\CALTRANS DISTRICT 8 – ON-CALL MATERIALS TESTING SERVICES
project-california-high-speed-rail-cp-1-2-3|quality-testing||CALIFORNIA HIGH-SPEED RAIL – CONSTRUCTION PACKAGES 1, 2 & 3|CATEGORY 2\CALIFORNIA HIGH-SPEED RAIL
project-i5-north-county-enhancement-santa-clarita|quality-testing||I-5 NORTH COUNTY ENHANCEMENT PROJECT (LA METRO / CALTRANS)|CATEGORY 2\I-5 NORTH COUNTY ENHANCEMENT PROJECT LA METRO
project-caltrans-district-4-materials-testing-plant-inspection|quality-testing||CALTRANS DISTRICT 4 – MATERIALS TESTING & PLANT INSPECTION|CATEGORY 2\CALTRANS DISTRICT 4 – MATERIALS TESTING & PLANT INSPECTION
project-i80-bridge-replacements-quality-testing|quality-testing||I-80 BRIDGE REPLACEMENTS – PLACER COUNTY, CA|CATEGORY 2\I-80 BRIDGE REPLACEMENT
project-sandag-mid-coast-transit-corridor|source-inspection||SANDAG MID-COAST TRANSIT CORRIDOR PROJECT|CATEGORY 1\SANDAG MID-COAST TRANSIT CORRIDOR
project-i80-bridge-replacement-source-inspection|source-inspection||I-80 BRIDGE REPLACEMENT PROJECT|CATEGORY 1\I-80 BRIDGE REPLACEMENT PROJECT
project-us101-sr85-express-lanes|source-inspection||US-101 / SR-85 EXPRESS LANES PROJECT|CATEGORY 1\US-101  SR-85 EXPRESS LANES PROJECT
project-devore-interchange-improvements|source-inspection||DEVORE INTERCHANGE IMPROVEMENTS|CATEGORY 1\I-15 and I-215 - DEVORE INTERCHANGE IMPROVEMENTS
project-city-of-long-beach-civil-public-works|port-rail-transit||City of Long Beach – Construction Inspection for Civil Public Works Projects|CATEGORY 4\City of Long Beach
project-port-of-long-beach-middle-harbor-redevelopment|port-rail-transit||Port of Long Beach – Middle Harbor Redevelopment Phases 2 & 3|CATEGORY 4\Port of Long Beach
project-rctc-la-sierra-metro-station-expansion|port-rail-transit||RCTC La Sierra Avenue Metro Station Expansion and Improvement Project|CATEGORY 4\RCTC La Sierra Avenue Metro Station
project-sbcta-uprr-bnsf-rail-to-rail-grade-separation|port-rail-transit||SBCTA – UPRR / BNSF Rail to Rail Grade Separation Project – Barstow, CA|CATEGORY 4\SBCTA
